id,Compound,Number of layers,Space group,Struct. type,DJorRP,LSF t1,LSF t2,"Eg (calc.), eV","Optical Eg (exp.), eV",Spacer (interlayer) cation,Intralayer cation,M-X-M angles distribution,M-X bonds in octahedra,CIF,Reference,
785,(3AP)PbCl4,1,C2/c,100,else,0.42,0.44,2.11,None,3-amidinopyridinium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.1c03832
786,(PA)PbI4,1,P21/c,100,RP,0.49,0.5,2.29,None,Propylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
787,(AA)2MA2Pb3I10,3,P21/c,100,RP,0.5,0.5,2.01,None,Allylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
788,(IdPA)2MA2Pb3I10,3,P21/c,100,else,0.43,0.43,2.04,None,2-iodopropylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
789,[(AA)x(IdPA)1Nonex]2MAPb2I7,2,Cc,100,RP,0.49,0.49,2.02,None,Allylammonium,2-iodopropylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
790,(IdPA)2PbI4,1,P21/c,100,else,0.47,0.47,2.07,None,2-iodopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
791,(IdPA)PbI3,None,P21/c,1D,DJ,0,0,2.28,None,2-iodopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
792,(AA)2MA2Pb3I10,3,P21/c,100,else,0.14,0.14,1.99,None,Allylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
793,(AA)12(MA)2Pb9I32,2,P-1,step-like,DJ,0,0,2.01,None,Allylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
794,(AA)3Pb2I7,1,P212121,step-like,else,0.02,0.12,2.08,None,Allylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
795,(IdPA)2MAPb2I7,2,C2/c,100,else,0.43,0.43,2.12,None,2-iodopropylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
796,(IdPA)6Pb3I12,None,P-1,0D,None,None,None,2.1,None,2-iodopropylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.2c00571
797,(R)-C6H16N2PbBr4,1,P21212,100,else,0,0.03,2.8,None,"(1R, 2R)-(-)-1,2-Cyclohexanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/D1TC05836C
798,(S)-C6H16N2PbBr4,1,P21212,100,else,0,0.03,2.81,None,"(1S, 2S)-(+)-1,2-Diaminocyclohexane",None,*.dia,*.dia,CIF,doi:,10.1039/D1TC05836C
799,(C11H23NH3)2PbI4,1,Pbca,100,RP,0.48,0.5,2.33,None,Undecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
800,(C11H23NH3)2PbI4,1,P212121,100,else,0.28,0.36,2.39,None,Undecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
801,(C11H23NH3)2PbI4,1,Pbca,100,RP,0.49,0.5,2.3,None,Undecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
802,(C13H27NH3)2PbI4,1,P21/c,100,else,0.13,0.13,2.45,None,Tridecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
803,(C13H27NH3)2PbI4,1,P21/c,100,RP,0.48,0.49,2.51,None,Tridecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
804,(C13H27NH3)2PbI4,1,P212121,100,else,0.09,0.22,2.4,None,Tridecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
805,(C15H31NH3)2PbI4,1,P21/c,100,else,0.08,0.08,2.51,None,Pentadecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
806,(C15H31NH3)2PbI4,1,P212121,100,else,0.14,0.22,2.42,None,Pentadecylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c03132
807,(C8H11FN)2PbBr4,1,C2/c,100,else,0.29,0.31,2.9,None,4-fluorophenethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D1CE01431E
808,(MACH)2PbI4,1,P21/c,100,else,0.36,0.36,2.31,None,Cyclohexanemethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.2c00183
809,(BA)2PbBr4,1,Pbca,100,RP,0.49,0.5,2.83,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.2c00183
810,(BA)2PbBr4,1,Cmce,100,RP,0.5,0.5,2.46,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.2c00183
811,(MACH)2PbI4,1,Cmce,100,RP,0.5,0.5,2.15,None,Cyclohexanemethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.2c00183
812,[(CH3)2CH(CH2)2NH3]2(CH3NH3)2Pb3Cl10,3,Pmc21,100,else,0.42,0.43,3.34,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1016/j.matt.2021.10.020
813,[(CH3)2CH(CH2)2NH3]2(CH3NH3)2Pb3Cl10,3,I4/mmm,100,RP,0.5,0.5,3.27,None,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1016/j.matt.2021.10.020
814,[C4H12N]Pb2Br5,None,P21,2Dmixed-sharing,DJ,0,0,2.57,None,tert-butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.1c03815
815,(C4H12N)2PbBr2I2,1,P21/c,100,RP,0.49,0.49,2.32,None,tert-butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.1c03815
816,(C4H12N)PbI3,None,P21,1D,DJ,0,0,2.01,None,tert-butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.1c03815
817,(IA)2(EA)2Pb3Br10,3,Cmc21,100,else,0.47,0.47,2.61,None,"Isoamylammonium, Ethylammonium",None,*.dia,*.dia,CIF,doi:,10.1002/adfm.202103012
818,(PREA)2PbI4,1,P21/c,100,else,0.22,0.23,2.35,None,Ethylammonium pyrene,None,*.dia,*.dia,CIF,doi:,10.1126/science.abd4860
819,(HCya)7Pb4I15,None,P21/c,step-like,DJ,0,0,2.11,None,Cysteamine,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.1c01106
820,(HCya)2PbI4,1,Pnma,100,else,0.14,0.41,2.16,None,Tioethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c09515
821,(PMA)2PbI4,None,P-1,1D,DJ,0,0,2.4,None,"[1,1'-biphenyl]-4,4'-dicarbonitrile",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c09515
822,(FPP)PbI4,None,Pcca,100,DJ,0,0,2.12,None,"2-fluoro-[1,1'-biphenyl]-4,4'-dicarbonitrile",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c09515
823,(FPEA)2(MA)Pb2I7,2,Cc,100,else,0.26,0.27,2.24,None,4-fluorophenethylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.jpclett.2c01435
824,(MPA)2PbI4,1,P212121,100,else,0.28,0.31,2.35,None,β-methylphenethylammonium,None,*.dia,*.dia,CIF,doi:,10.1016/j.apmt.2022.101550
825,(MPA)PbI3,None,P212121,1D,DJ,0,0,2.24,None,β-methylphenethylammonium,None,*.dia,*.dia,CIF,doi:,10.1016/j.apmt.2022.101550
826,(TMA)PbI3,None,R-3,1D,else,0.01,0.03,1.95,None,Trimethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.jpclett.2c01045
827,(FA)3(HEA)2Pb3I11,None,P2,110,DJ,0,0,2.21,None,2-hydroxyethylammonium,Formamidinium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.2c00130
828,"(1,4BDA)Pb2Br6",None,P21/c,perovskitoid,None,None,None,2.57,None,"1,4-butanediammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c11803
829,(TMEA)Pb2Br6,None,Pma2,perovskitoid,None,None,None,2.45,None,(2-Aminoethyl)trimethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c11803
830,(NMPA)Pb2Br6,None,Pba2,perovskitoid,None,None,None,2.63,None,"N,N'-dimethyl-1,3-propanediammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c11803
831,(DMEA)Pb2Br6,None,Pbca,perovskitoid,None,None,None,2.58,None,"N,N-dimethylethylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.1c11803
832,Cs2PbBr5,None,I4/mcm,non-prvsk,None,None,None,2.4,None,Caesium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.cgd.2c00526
833,Cs2Pb(NO3)2Br2,None,I41/amd,RP-like,None,None,None,2.53,None,Caesium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.inorgchem.2c00047
834,[C6H10N2]Pb2Cl6,None,P21/c,2Dlayered,DJ,0.01,0.02,3.32,None,p-phenylenediammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D2TC01472F
835,[(Me3)DAB(Me2)]4Pb5Br18,None,P-421c,non-prvsk,None,None,None,2.64,None,Benzidine,None,*.dia,*.dia,CIF,doi:,10.1016/j.inoche.2022.109339
836,(H2MeTMBMeH2)(PbBr3)2,None,C2/c,1D,else,0.19,0.29,2.68,None,"Trans-2,5-dimethyl piperazine",None,*.dia,*.dia,CIF,doi:,10.1016/j.inoche.2022.109339
837,[C7N2H18]PbBr4,1,Pbca,100,else,0.2,0.23,2.67,None,Propylpiperazinium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.202100334
838,[C4N2H14]PbBr4,None,Pbca,step-like,else,0.03,0.1,2.53,None,"N,N-dimethyl-1,2-ethanediamine",None,*.dia,*.dia,CIF,doi:,10.1002/zaac.202100334
839,[C5N2H17]PbCl4,None,P21/c,110,else,0.03,0.05,3.3,None,"N,N,N',N'-tetramethylethylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1002/zaac.202100334
840,[C16N4H48]Pb3Cl10,None,Cmce,non-prvsk,else,0.04,0.08,3.27,None,Tetramethylammonium,None,*.dia,*.dia,CIF,doi:,10.1002/zaac.202100334
841,[C3N6H8]PbBr4,None,P21/c,110,else,0.11,0.26,None,None,Melamine,None,*.dia,*.dia,CIF,doi:,10.1002/ange.202202746
842,"[1,3-C6H10N2]PbBr4",1,C2/c,100,else,0,0.5,None,None,"1,3-phenylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/D2TC02113G
843,"[1,3-C8H14N2]2PbBr6",None,P21/c,0D,DJ,0,0,None,None,"1,3-xylylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/D2TC02113G
844,"[1,4-C6H10N2]PbBr4",1,P-1,100,else,0.45,0.45,None,None,"1,4-phenylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/D2TC02113G
845,"[1,4-C8H14N2]PbBr4",1,P21/c,100,DJ,0,0,None,None,"1,4-xylylenediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/D2TC02113G
846,[C6H4CH2CH2NH3]2GeBr4,1,P-1,100,else,0.23,0.15,None,3.01,Phenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D1TC02394B
847,[BrC6H4CH2CH2NH3]2GeBr4,1,Pna21,100,else,0.5,0.45,None,2.95,2-bromophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D1TC02394B
848,[FC6H4CH2CH2NH3]2GeBr4,1,P21/c(P21/n),100,else,0.05,0.45,None,2.91,2-fluorophenylethylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D1TC02394B
849,[C6H4CH2NH3]2GeBr4,1,P-1,100,else,0.49,0,None,2.89,Benzylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/D1TC02394B
